指标编号|指标名称|统计对象|统计维度一|统计频度|条线|单位|业务口径|完善后的业务口径
INDX_0046|储蓄存款余额较年初|理财经理/机构|营销活动/目标任务|日||元|根据活动统计关联客户的储蓄存款余额较年初的数据|
INDX_0047|储蓄存款余额较基数|理财经理/机构|营销活动/目标任务|日||元|根据活动统计关联客户的储蓄存款余额较基数的数据，基数由业务导入|
INDX_0048|储蓄存款余额较上月|理财经理/机构|营销活动/目标任务|日||元|根据活动统计关联客户的储蓄存款余额较上月底的数据|
INDX_0049|储蓄存款余额较上季|理财经理/机构|营销活动/目标任务|日||元|根据活动统计关联客户的储蓄存款余额较上季底的数据|
INDX_0050|储蓄存款年日均净增额|理财经理/机构|营销活动/目标任务|日||元|储蓄存款年日均指考核期每日储蓄存款余额之和除以考核天数。储蓄存款包括个人活期存款、个人定期存款、个人通知存款等。|储蓄存款年日均指考核期每日储蓄存款余额之和除以考核天数（当年年日均➖上一年年日均）。储蓄存款包括个人活期存款、个人定期存款、个人通知存款等。
INDX_0051|储蓄存款月日均净增额|理财经理/机构|营销活动/目标任务|日||元|储蓄存款月日均指考核期每日储蓄存款余额之和除以考核天数。储蓄存款包括个人活期存款、个人定期存款、个人通知存款等。|储蓄存款月日均指考核期每日储蓄存款余额之和除以考核天数（即当月月日均-上月月日均）。储蓄存款包括个人活期存款、个人定期存款、个人通知存款等。
INDX_0052|财富及以上层级客户数增量|理财经理/机构|营销活动/目标任务|日||户|统计活动期间客户等级上升到财富及以上客户数|
INDX_0053|贵宾及以上层级客户数增量|理财经理/机构|营销活动/目标任务|日||户|统计活动期间客户等级上升到贵宾及以上客户数|
INDX_0054|私行及以上层级客户数增量|理财经理/机构|营销活动/目标任务|日||户|统计活动期间客户等级上升到私行及以上客户数|
INDX_0055|个人理财产品年日均净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户理财产品年日均净增额|
INDX_0056|个人理财产品月日均净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户理财产品月日均净增额|
INDX_0057|个人理财产品销量净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户购买理财产品额|
INDX_0058|个人代销理财产品年日均净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户代销理财产品年日均净增额|
INDX_0059|个人代销理财产品月日均净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户代销理财产品月日均净增额|
INDX_0060|个人代销理财产品销量净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间客户购买代销理财产品额|
INDX_0061|代销保险保费净增额|理财经理/机构|营销活动/目标任务|日||元|统计客户首期保费，并剔除同一保单已退保的情况|
INDX_0062|个人贷款净增额|理财经理/机构|营销活动/目标任务|日||元|统计活动期间新增贷款|
INDX_0063|临界客户净增|理财经理/机构|营销活动/目标任务|日||元|统计活动期间临界客户净增数 按上月金融资产月日均等级判断各层级客户数，[4.5，5万）为临界优质，[27，30万）为临界财富1，[45，50万）为临界财富2，[90，100万）为临界贵宾，[270，300万）为临界私行，考核期内临界客户的增量。|
INDX_0064|代发薪客户净增|理财经理/机构|营销活动/目标任务|日||元|统计活动期间新增的代发薪客户数量|
INDX_0065|代销业务收入|理财经理/机构|营销活动/目标任务|日||元|统计活动期间代销业务收入 个人代销业务产生的中间业务收入，包括保险代销、贵金属代销和理财代销。|
INDX_0066|个贷新形成不良贷款率|理财经理/机构|营销活动/目标任务|日||%|考核期内新形成不良贷款指考核期初为正常大类个人贷款（正常类和关注类），在考核期末风险分类为不良的贷款和当年新形成不良的贷款余额。|
INDX_0067|手机银行活跃客户数|理财经理/机构|营销活动/目标任务|日||户|当年个人手机银行登陆活跃客户数。|
